Sales Person,Country,Product,Date,Month, Amount ,Boxes Shipped
Barr Faughny,New Zealand,After Nines,19/Apr/2024,April,"$11,251 ",91
Beverie Moffet,UK,Almond Choco,16/May/2024,May,"$2,799 ",104
Oby Sorrel,Australia,Raspberry Choco,17/Feb/2024,February,"$1,158 ",114
Dennison Crosswaite,USA,Raspberry Choco,18/Jan/2024,January,"$7,049 ",273
Roddy Speechley,Canada,Orange Choco,02/Sep/2024,September,"$9,461 ",84
Mallorie Waber,Canada,Orange Choco,23/Mar/2024,March,"$4,174 ",175
Madelene Upcott,New Zealand,Caramel Stuffed Bars,02/Jan/2024,January,"$4,005 ",150
Mallorie Waber,India,Drinking Coco,03/Jul/2024,July,"$4,651 ",143
Ches Bonnell,UK,White Choc,01/Mar/2024,March,"$3,815 ",220
Ches Bonnell,USA,White Choc,02/Nov/2024,November,"$6,321 ",325
Dennison Crosswaite,New Zealand,Orange Choco,16/Mar/2024,March,"$5,246 ",144
Dotty Strutley,India,White Choc,15/Aug/2024,August,"$12,999 ",317
Gigi Bohling,India,Manuka Honey Choco,05/Dec/2024,December,"$5,932 ",79
Van Tuxwell,India,Spicy Special Slims,04/Nov/2024,November,"$6,812 ",4
Jan Morforth,New Zealand,Mint Chip Choco,30/Jun/2024,June,"$21,381 ",311
Dotty Strutley,New Zealand,White Choc,15/Jun/2024,June,"$8,423 ",63
Rafaelita Blaksland,Canada,Caramel Stuffed Bars,08/Jan/2024,January,"$7,951 ",109
Kaine Padly,USA,Milk Bars,15/Jun/2024,June,"$18,389 ",62
Brien Boise,India,After Nines,16/Jun/2024,June,"$6,555 ",45
Oby Sorrel,New Zealand,Raspberry Choco,13/May/2024,May,"$5,130 ",270
Dennison Crosswaite,USA,Drinking Coco,05/Oct/2024,October,"$2,399 ",149
Oby Sorrel,India,Eclairs,25/Aug/2024,August,"$6,097 ",344
Ches Bonnell,New Zealand,Organic Choco Syrup,15/Jul/2024,July,"$8,135 ",83
Gigi Bohling,UK,Baker's Choco Chips,16/May/2024,May,"$9,970 ",449
Jan Morforth,Australia,50% Dark Bites,14/Jun/2024,June,"$3,894 ",173
Beverie Moffet,Australia,Smooth Sliky Salty,25/Jan/2024,January,"$11,533 ",491
Ches Bonnell,USA,Organic Choco Syrup,28/Jul/2024,July,"$8,754 ",14
Brien Boise,Canada,Mint Chip Choco,28/Jan/2024,January,"$5,476 ",194
Kaine Padly,UK,Orange Choco,29/Jun/2024,June,"$2,253 ",196
Karlen McCaffrey,Australia,70% Dark Bites,24/Jun/2024,June,$279 ,332
Gunar Cockshoot,Canada,Mint Chip Choco,07/Jan/2024,January,"$8,937 ",442
Roddy Speechley,USA,Peanut Butter Cubes,25/Feb/2024,February,"$2,010 ",144
Curtice Advani,Canada,Smooth Sliky Salty,08/Jan/2024,January,"$2,902 ",12
Oby Sorrel,Australia,Milk Bars,21/Jun/2024,June,"$9,231 ",278
Camilla Castle,New Zealand,Spicy Special Slims,25/Jan/2024,January,"$12,745 ",26
Gigi Bohling,UK,Milk Bars,17/May/2024,May,"$1,437 ",248
Andria Kimpton,Australia,85% Dark Bars,23/Aug/2024,August,"$4,900 ",254
Camilla Castle,Australia,Smooth Sliky Salty,03/Mar/2024,March,"$8,263 ",129
Roddy Speechley,India,Caramel Stuffed Bars,30/May/2024,May,"$10,140 ",552
Karlen McCaffrey,USA,Drinking Coco,29/Jun/2024,June,$133 ,243
Andria Kimpton,Canada,Organic Choco Syrup,01/Apr/2024,April,"$9,480 ",217
Jehu Rudeforth,Australia,Drinking Coco,14/Jan/2024,January,"$3,115 ",65
Karlen McCaffrey,USA,Mint Chip Choco,15/Feb/2024,February,"$17,866 ",58
Curtice Advani,New Zealand,Spicy Special Slims,01/Oct/2024,October,"$4,651 ",494
Madelene Upcott,USA,White Choc,05/Apr/2024,April,"$14,360 ",218
Andria Kimpton,USA,Spicy Special Slims,23/May/2024,May,"$2,596 ",5
Barr Faughny,New Zealand,Fruit & Nut Bars,26/Apr/2024,April,"$1,853 ",153
Oby Sorrel,Canada,Organic Choco Syrup,07/May/2024,May,"$1,393 ",70
Madelene Upcott,UK,Organic Choco Syrup,21/Jul/2024,July,"$7,943 ",174
Dotty Strutley,USA,Mint Chip Choco,21/Feb/2024,February,"$5,553 ",272
Kelci Walkden,USA,Orange Choco,02/Mar/2024,March,"$1,539 ",143
Gigi Bohling,Australia,Caramel Stuffed Bars,07/Aug/2024,August,"$9,118 ",154
Mallorie Waber,India,50% Dark Bites,31/May/2024,May,$631 ,140
Van Tuxwell,New Zealand,Mint Chip Choco,27/Jun/2024,June,"$4,486 ",104
Van Tuxwell,India,50% Dark Bites,13/May/2024,May,"$5,591 ",132
Van Tuxwell,USA,Manuka Honey Choco,31/May/2024,May,"$2,663 ",102
Wilone O'Kielt,USA,Orange Choco,28/Feb/2024,February,"$7,482 ",38
Barr Faughny,New Zealand,Eclairs,28/Mar/2024,March,"$7,418 ",31
Gigi Bohling,USA,After Nines,14/Jan/2024,January,"$1,969 ",235
Barr Faughny,New Zealand,Mint Chip Choco,21/Feb/2024,February,"$7,198 ",159
Dennison Crosswaite,Canada,85% Dark Bars,08/Jan/2024,January,"$11,719 ",87
Beverie Moffet,New Zealand,Smooth Sliky Salty,19/May/2024,May,"$2,755 ",63
Husein Augar,USA,White Choc,13/Jul/2024,July,"$2,439 ",61
Andria Kimpton,Australia,Peanut Butter Cubes,20/Apr/2024,April,"$7,662 ",144
Dennison Crosswaite,India,85% Dark Bars,30/Jun/2024,June,"$4,886 ",23
Curtice Advani,UK,50% Dark Bites,03/Aug/2024,August,"$3,572 ",156
Gunar Cockshoot,USA,Fruit & Nut Bars,03/Sep/2024,September,"$6,938 ",94
Oby Sorrel,Canada,Raspberry Choco,16/Jun/2024,June,"$1,941 ",221
Gigi Bohling,UK,Drinking Coco,30/Jun/2024,June,"$6,173 ",46
Kelci Walkden,India,Mint Chip Choco,28/Jul/2024,July,"$3,105 ",116
Karlen McCaffrey,Canada,Peanut Butter Cubes,08/Dec/2024,December,"$3,692 ",154
Barr Faughny,UK,Mint Chip Choco,07/Jul/2024,July,"$3,951 ",324
Barr Faughny,USA,85% Dark Bars,25/Aug/2024,August,"$13,497 ",49
Husein Augar,Canada,Eclairs,17/Jan/2024,January,"$4,389 ",241
Jan Morforth,Australia,70% Dark Bites,03/Apr/2024,April,"$6,311 ",366
Marney O'Breen,New Zealand,Fruit & Nut Bars,25/Aug/2024,August,"$9,693 ",4
Ches Bonnell,UK,Peanut Butter Cubes,15/Apr/2024,April,"$2,348 ",266
Kaine Padly,USA,Organic Choco Syrup,03/Nov/2024,November,"$2,519 ",24
Camilla Castle,USA,Raspberry Choco,20/May/2024,May,"$3,517 ",17
Brien Boise,New Zealand,Manuka Honey Choco,14/Jun/2024,June,"$16,807 ",44
Jehu Rudeforth,New Zealand,After Nines,14/Apr/2024,April,"$1,737 ",70
Jehu Rudeforth,USA,Smooth Sliky Salty,07/Jul/2024,July,"$7,900 ",168
Madelene Upcott,India,Mint Chip Choco,24/Aug/2024,August,"$4,017 ",71
Jehu Rudeforth,India,Eclairs,24/Feb/2024,February,"$9,643 ",140
Karlen McCaffrey,Canada,Raspberry Choco,05/Sep/2024,September,$774 ,217
Kaine Padly,Australia,70% Dark Bites,02/Aug/2024,August,"$7,852 ",240
Roddy Speechley,UK,70% Dark Bites,24/Mar/2024,March,"$1,650 ",293
Rafaelita Blaksland,USA,Drinking Coco,20/Jun/2024,June,"$9,333 ",78
Mallorie Waber,Canada,Manuka Honey Choco,03/Jul/2024,July,"$1,540 ",117
Kaine Padly,Australia,Fruit & Nut Bars,20/Jun/2024,June,"$7,841 ",82
Oby Sorrel,New Zealand,Organic Choco Syrup,17/Feb/2024,February,"$17,103 ",267
Madelene Upcott,UK,99% Dark & Pure,26/Jan/2024,January,"$11,496 ",49
Madelene Upcott,Australia,Mint Chip Choco,05/Feb/2024,February,"$3,073 ",166
Curtice Advani,Canada,99% Dark & Pure,07/Jul/2024,July,"$14,991 ",7
Rafaelita Blaksland,Australia,Baker's Choco Chips,22/Aug/2024,August,"$3,170 ",49
Karlen McCaffrey,Australia,After Nines,08/Nov/2024,November,"$2,528 ",67
Marney O'Breen,UK,99% Dark & Pure,13/Jan/2024,January,"$8,552 ",208
Gunar Cockshoot,Australia,50% Dark Bites,03/Feb/2024,February,"$13,073 ",119
Marney O'Breen,Australia,Choco Coated Almonds,27/Jul/2024,July,"$11,987 ",41
Kelci Walkden,New Zealand,Drinking Coco,03/Oct/2024,October,"$18,385 ",116
Beverie Moffet,USA,85% Dark Bars,23/Aug/2024,August,"$14,028 ",344
Roddy Speechley,USA,Eclairs,25/Apr/2024,April,"$4,813 ",169
Dennison Crosswaite,UK,Milk Bars,03/Jul/2024,July,"$11,964 ",446
Wilone O'Kielt,UK,Organic Choco Syrup,07/Dec/2024,December,"$5,575 ",52
Madelene Upcott,USA,Orange Choco,16/May/2024,May,"$9,205 ",144
Gunar Cockshoot,India,Smooth Sliky Salty,03/Feb/2024,February,"$4,134 ",69
Marney O'Breen,New Zealand,85% Dark Bars,30/May/2024,May,"$1,312 ",164
Marney O'Breen,UK,Manuka Honey Choco,06/Oct/2024,October,"$11,736 ",185
Brien Boise,USA,99% Dark & Pure,25/Jul/2024,July,"$7,651 ",358
Beverie Moffet,New Zealand,Mint Chip Choco,06/Sep/2024,September,"$4,995 ",98
Dennison Crosswaite,USA,Milk Bars,05/Dec/2024,December,$891 ,62
Gunar Cockshoot,USA,Drinking Coco,05/Sep/2024,September,"$4,142 ",5
Brien Boise,Canada,Manuka Honey Choco,08/Sep/2024,September,"$7,308 ",178
Van Tuxwell,India,Choco Coated Almonds,13/Apr/2024,April,"$6,834 ",115
Andria Kimpton,USA,Caramel Stuffed Bars,05/Feb/2024,February,"$8,878 ",47
Dotty Strutley,USA,99% Dark & Pure,08/Sep/2024,September,"$4,135 ",307
Camilla Castle,Australia,Raspberry Choco,23/Aug/2024,August,"$6,642 ",188
Gunar Cockshoot,India,Spicy Special Slims,13/May/2024,May,"$7,117 ",174
Karlen McCaffrey,USA,Manuka Honey Choco,02/Jan/2024,January,"$11,816 ",68
Camilla Castle,USA,50% Dark Bites,23/Jun/2024,June,"$6,963 ",303
Madelene Upcott,UK,Choco Coated Almonds,24/May/2024,May,"$11,786 ",147
Jan Morforth,Canada,Mint Chip Choco,04/Jan/2024,January,"$1,200 ",224
Camilla Castle,Canada,70% Dark Bites,27/Jul/2024,July,"$10,791 ",166
Ches Bonnell,India,Peanut Butter Cubes,27/Jan/2024,January,"$26,171 ",224
Jan Morforth,India,Choco Coated Almonds,08/Dec/2024,December,"$2,988 ",136
Gigi Bohling,Canada,Almond Choco,02/Jan/2024,January,"$11,706 ",47
Rafaelita Blaksland,India,After Nines,03/Feb/2024,February,"$5,256 ",201
Kelci Walkden,Australia,99% Dark & Pure,30/Jun/2024,June,"$3,794 ",36
Dotty Strutley,Australia,Spicy Special Slims,17/Jan/2024,January,"$9,655 ",97
Brien Boise,USA,Milk Bars,07/Jul/2024,July,"$16,002 ",133
Mallorie Waber,New Zealand,Mint Chip Choco,31/Jan/2024,January,"$1,386 ",104
Beverie Moffet,UK,99% Dark & Pure,08/Oct/2024,October,"$3,822 ",122
Beverie Moffet,USA,Peanut Butter Cubes,18/Aug/2024,August,"$15,722 ",351
Brien Boise,New Zealand,White Choc,15/Jun/2024,June,"$6,287 ",340
Marney O'Breen,USA,Baker's Choco Chips,26/Jan/2024,January,"$9,832 ",9
Kelci Walkden,USA,Spicy Special Slims,29/Apr/2024,April,$90 ,73
Mallorie Waber,Canada,White Choc,03/Mar/2024,March,"$3,800 ",71
Kaine Padly,Australia,Almond Choco,22/Feb/2024,February,"$4,674 ",422
Oby Sorrel,USA,Smooth Sliky Salty,03/Apr/2024,April,"$4,012 ",169
Dennison Crosswaite,India,Smooth Sliky Salty,07/Jul/2024,July,"$3,430 ",9
Camilla Castle,New Zealand,Caramel Stuffed Bars,17/Jun/2024,June,"$4,921 ",380
Jan Morforth,Canada,Caramel Stuffed Bars,08/Feb/2024,February,"$10,050 ",118
Oby Sorrel,USA,Baker's Choco Chips,08/Dec/2024,December,"$8,485 ",120
Madelene Upcott,New Zealand,Peanut Butter Cubes,28/Jan/2024,January,"$6,030 ",351
Kelci Walkden,Australia,Orange Choco,29/Apr/2024,April,"$13,332 ",443
Marney O'Breen,Australia,Manuka Honey Choco,04/May/2024,May,"$15,246 ",233
Kaine Padly,Canada,Manuka Honey Choco,18/Jan/2024,January,"$11,619 ",133
Jehu Rudeforth,UK,Baker's Choco Chips,16/May/2024,May,"$2,630 ",98
Kelci Walkden,Australia,White Choc,24/Aug/2024,August,"$10,089 ",168
Curtice Advani,India,85% Dark Bars,18/Jan/2024,January,$308 ,402
Kaine Padly,USA,Eclairs,22/Aug/2024,August,"$7,979 ",10
Gunar Cockshoot,UK,99% Dark & Pure,03/Jul/2024,July,$8 ,84
Beverie Moffet,UK,Choco Coated Almonds,03/Apr/2024,April,"$3,303 ",73
Dotty Strutley,Canada,Manuka Honey Choco,22/Apr/2024,April,"$13,960 ",113
Kaine Padly,Australia,Milk Bars,06/Sep/2024,September,"$4,251 ",91
Jan Morforth,Canada,Fruit & Nut Bars,25/Jul/2024,July,"$9,886 ",217
Jan Morforth,India,Smooth Sliky Salty,08/Mar/2024,March,"$12,864 ",93
Rafaelita Blaksland,Australia,Manuka Honey Choco,08/Mar/2024,March,"$5,246 ",144
Jehu Rudeforth,UK,Milk Bars,05/Mar/2024,March,"$14,346 ",219
Husein Augar,Canada,After Nines,19/Jan/2024,January,"$11,462 ",288
Roddy Speechley,USA,50% Dark Bites,02/Nov/2024,November,"$11,668 ",306
Van Tuxwell,India,Almond Choco,14/Jun/2024,June,"$7,455 ",383
Kelci Walkden,USA,50% Dark Bites,23/Mar/2024,March,"$7,204 ",234
Madelene Upcott,Canada,85% Dark Bars,17/Feb/2024,February,"$8,082 ",105
Dennison Crosswaite,Canada,Smooth Sliky Salty,17/Mar/2024,March,"$2,055 ",485
Mallorie Waber,Australia,Spicy Special Slims,29/Jun/2024,June,"$6,476 ",304
Ches Bonnell,Canada,Choco Coated Almonds,24/Aug/2024,August,"$17,490 ",289
Gigi Bohling,Canada,Spicy Special Slims,07/Apr/2024,April,"$13,644 ",281
Roddy Speechley,New Zealand,Almond Choco,28/Mar/2024,March,"$2,930 ",70
Curtice Advani,India,Smooth Sliky Salty,19/Apr/2024,April,"$22,717 ",143
Ches Bonnell,New Zealand,Mint Chip Choco,18/Jan/2024,January,"$9,472 ",248
Van Tuxwell,New Zealand,Fruit & Nut Bars,17/Jan/2024,January,"$3,400 ",92
Andria Kimpton,New Zealand,Mint Chip Choco,15/Feb/2024,February,"$10,696 ",201
Andria Kimpton,UK,Milk Bars,02/Nov/2024,November,"$17,102 ",307
Camilla Castle,USA,Manuka Honey Choco,21/Mar/2024,March,"$18,937 ",180
Gunar Cockshoot,New Zealand,Almond Choco,01/May/2024,May,"$6,015 ",136
Brien Boise,India,Raspberry Choco,30/May/2024,May,"$7,624 ",162
Jehu Rudeforth,USA,99% Dark & Pure,01/Apr/2024,April,"$2,997 ",227
Beverie Moffet,Australia,Fruit & Nut Bars,22/Apr/2024,April,"$1,719 ",260
Gigi Bohling,Canada,Milk Bars,02/Oct/2024,October,"$3,523 ",114
Dotty Strutley,India,Spicy Special Slims,08/Dec/2024,December,"$1,092 ",209
Gunar Cockshoot,USA,Organic Choco Syrup,08/Oct/2024,October,"$2,496 ",310
Kelci Walkden,Australia,Raspberry Choco,06/Jul/2024,July,$813 ,58
Jehu Rudeforth,India,Baker's Choco Chips,06/Jun/2024,June,"$2,489 ",81
Karlen McCaffrey,New Zealand,Baker's Choco Chips,04/May/2024,May,"$5,701 ",201
Wilone O'Kielt,USA,50% Dark Bites,18/Apr/2024,April,"$5,084 ",126
Andria Kimpton,India,50% Dark Bites,31/Jan/2024,January,"$15,789 ",16
Madelene Upcott,USA,Baker's Choco Chips,22/Aug/2024,August,"$6,542 ",141
Jehu Rudeforth,Australia,99% Dark & Pure,25/Feb/2024,February,"$11,409 ",217
Jan Morforth,Australia,Mint Chip Choco,22/Feb/2024,February,"$19,258 ",99
Oby Sorrel,New Zealand,Milk Bars,01/Dec/2024,December,"$5,075 ",201
Brien Boise,UK,Almond Choco,25/May/2024,May,$116 ,120
Kelci Walkden,India,Smooth Sliky Salty,02/Jan/2024,January,"$2,797 ",9
Rafaelita Blaksland,UK,Eclairs,27/Apr/2024,April,"$1,608 ",75
Gigi Bohling,USA,Smooth Sliky Salty,22/Jul/2024,July,"$2,961 ",133
Curtice Advani,New Zealand,Mint Chip Choco,26/Jan/2024,January,"$3,704 ",260
Curtice Advani,USA,Mint Chip Choco,24/Aug/2024,August,"$5,680 ",285
Madelene Upcott,New Zealand,Fruit & Nut Bars,18/Jan/2024,January,"$6,764 ",20
Karlen McCaffrey,India,85% Dark Bars,30/Mar/2024,March,"$1,109 ",87
Ches Bonnell,Australia,Caramel Stuffed Bars,17/Jan/2024,January,"$9,477 ",160
Kelci Walkden,USA,Fruit & Nut Bars,17/Feb/2024,February,"$5,302 ",155
Kelci Walkden,Canada,Peanut Butter Cubes,04/Aug/2024,August,"$8,041 ",43
Gigi Bohling,Canada,Drinking Coco,07/Jun/2024,June,"$3,716 ",89
Husein Augar,India,Fruit & Nut Bars,04/Apr/2024,April,"$4,592 ",222
Jan Morforth,New Zealand,Organic Choco Syrup,03/Feb/2024,February,"$1,928 ",217
Gigi Bohling,New Zealand,Raspberry Choco,08/Sep/2024,September,"$1,225 ",186
Dennison Crosswaite,Australia,Milk Bars,06/Sep/2024,September,"$11,327 ",296
Ches Bonnell,UK,Caramel Stuffed Bars,06/Feb/2024,February,"$3,063 ",301
Van Tuxwell,USA,Fruit & Nut Bars,07/May/2024,May,"$7,093 ",233
Andria Kimpton,Canada,Eclairs,08/Nov/2024,November,$337 ,120
Madelene Upcott,India,Choco Coated Almonds,02/Nov/2024,November,"$3,765 ",158
Kelci Walkden,New Zealand,Spicy Special Slims,08/Nov/2024,November,$695 ,68
Roddy Speechley,Australia,Drinking Coco,05/Dec/2024,December,"$14,610 ",111
Wilone O'Kielt,USA,Milk Bars,15/Jul/2024,July,"$5,299 ",96
Andria Kimpton,India,Organic Choco Syrup,18/Jan/2024,January,"$4,552 ",132
Madelene Upcott,UK,Fruit & Nut Bars,01/May/2024,May,"$9,099 ",199
Curtice Advani,Australia,50% Dark Bites,29/Jun/2024,June,$604 ,239
Brien Boise,Canada,Raspberry Choco,14/Jun/2024,June,"$3,172 ",46
Gunar Cockshoot,India,Mint Chip Choco,08/Aug/2024,August,"$4,737 ",74
Dennison Crosswaite,India,Mint Chip Choco,23/Mar/2024,March,"$15,202 ",142
Barr Faughny,India,Caramel Stuffed Bars,01/Apr/2024,April,"$7,913 ",106
Brien Boise,India,Milk Bars,22/Feb/2024,February,"$14,191 ",269
Beverie Moffet,UK,Spicy Special Slims,17/Feb/2024,February,"$9,327 ",259
Barr Faughny,USA,Almond Choco,02/Mar/2024,March,$434 ,83
Van Tuxwell,Canada,Raspberry Choco,17/Mar/2024,March,"$1,498 ",132
Wilone O'Kielt,Australia,Baker's Choco Chips,25/Jan/2024,January,"$3,125 ",155
Brien Boise,Australia,Milk Bars,27/Jul/2024,July,"$2,356 ",54
Husein Augar,Australia,Fruit & Nut Bars,28/Jan/2024,January,"$8,548 ",55
Madelene Upcott,Australia,Organic Choco Syrup,07/May/2024,May,"$12,094 ",52
Van Tuxwell,India,White Choc,15/Mar/2024,March,"$2,119 ",46
Gunar Cockshoot,Canada,After Nines,08/Apr/2024,April,"$3,038 ",220
Jan Morforth,USA,Fruit & Nut Bars,27/Jun/2024,June,"$5,188 ",382
Jan Morforth,Canada,After Nines,13/Jul/2024,July,"$5,385 ",180
Barr Faughny,New Zealand,Manuka Honey Choco,24/Feb/2024,February,"$6,575 ",249
Karlen McCaffrey,New Zealand,85% Dark Bars,28/Jun/2024,June,"$6,350 ",59
Oby Sorrel,Australia,85% Dark Bars,30/Jun/2024,June,"$7,488 ",28
Curtice Advani,Canada,Choco Coated Almonds,18/Aug/2024,August,"$6,998 ",7
Kaine Padly,India,70% Dark Bites,24/Jan/2024,January,"$13,082 ",324
Beverie Moffet,USA,White Choc,03/Nov/2024,November,"$5,965 ",136
Ches Bonnell,New Zealand,After Nines,23/Jun/2024,June,"$6,651 ",377
Husein Augar,India,Spicy Special Slims,22/Aug/2024,August,"$2,606 ",31
Gunar Cockshoot,Canada,50% Dark Bites,01/Apr/2024,April,"$3,616 ",24
Curtice Advani,India,Milk Bars,04/May/2024,May,"$3,658 ",210
Beverie Moffet,India,Milk Bars,15/Apr/2024,April,"$1,997 ",314
Husein Augar,Australia,White Choc,05/Nov/2024,November,"$3,619 ",213
Andria Kimpton,Canada,Manuka Honey Choco,21/Jul/2024,July,"$5,539 ",492
Jan Morforth,New Zealand,Orange Choco,02/Nov/2024,November,"$1,382 ",86
Andria Kimpton,Canada,Smooth Sliky Salty,07/Aug/2024,August,"$1,224 ",81
Gunar Cockshoot,UK,Raspberry Choco,08/Nov/2024,November,"$8,043 ",344
Husein Augar,New Zealand,After Nines,08/Apr/2024,April,"$6,878 ",7
Andria Kimpton,New Zealand,Orange Choco,14/Jun/2024,June,"$9,420 ",94
Dennison Crosswaite,UK,Baker's Choco Chips,17/Jan/2024,January,"$2,516 ",293
Jehu Rudeforth,Canada,Orange Choco,23/Jun/2024,June,"$4,335 ",529
Jehu Rudeforth,UK,Smooth Sliky Salty,24/Aug/2024,August,"$1,588 ",111
Andria Kimpton,UK,Caramel Stuffed Bars,06/Jul/2024,July,"$8,959 ",271
Jan Morforth,UK,White Choc,22/Jun/2024,June,"$9,409 ",46
Dotty Strutley,USA,Fruit & Nut Bars,13/Jul/2024,July,"$3,316 ",268
Kelci Walkden,UK,Choco Coated Almonds,24/May/2024,May,"$10,921 ",210
Gunar Cockshoot,New Zealand,After Nines,08/Sep/2024,September,"$7,606 ",154
Kaine Padly,Canada,85% Dark Bars,04/Jun/2024,June,"$1,860 ",33
Jan Morforth,New Zealand,Manuka Honey Choco,28/Jul/2024,July,"$1,744 ",259
Gunar Cockshoot,New Zealand,Raspberry Choco,24/Aug/2024,August,$758 ,57
Van Tuxwell,Australia,99% Dark & Pure,17/Jan/2024,January,$125 ,138
Curtice Advani,USA,Drinking Coco,02/Jul/2024,July,"$6,171 ",149
Brien Boise,Australia,Spicy Special Slims,05/Sep/2024,September,"$6,867 ",273
Mallorie Waber,New Zealand,85% Dark Bars,06/Jun/2024,June,"$8,775 ",113
Wilone O'Kielt,USA,Choco Coated Almonds,06/Jun/2024,June,"$10,423 ",6
Beverie Moffet,New Zealand,Organic Choco Syrup,24/May/2024,May,"$7,402 ",231
Gunar Cockshoot,UK,50% Dark Bites,13/Jan/2024,January,"$2,498 ",129
Marney O'Breen,USA,Raspberry Choco,23/May/2024,May,"$6,874 ",152
Jehu Rudeforth,UK,White Choc,29/Jun/2024,June,"$2,016 ",304
Jehu Rudeforth,New Zealand,85% Dark Bars,03/Nov/2024,November,"$8,078 ",95
Dotty Strutley,USA,85% Dark Bars,25/Apr/2024,April,"$11,149 ",538
Rafaelita Blaksland,Australia,Smooth Sliky Salty,30/May/2024,May,"$4,739 ",236
Curtice Advani,India,Manuka Honey Choco,23/May/2024,May,"$1,845 ",185
Mallorie Waber,USA,Peanut Butter Cubes,23/May/2024,May,"$1,264 ",19
Van Tuxwell,Canada,Peanut Butter Cubes,24/Jun/2024,June,"$7,528 ",306
Kelci Walkden,New Zealand,Smooth Sliky Salty,03/Nov/2024,November,"$12,265 ",268
Rafaelita Blaksland,USA,Smooth Sliky Salty,27/Jul/2024,July,"$17,662 ",230
Rafaelita Blaksland,USA,White Choc,16/Aug/2024,August,"$5,520 ",120
Roddy Speechley,Canada,Smooth Sliky Salty,03/Jul/2024,July,"$10,713 ",11
Curtice Advani,New Zealand,After Nines,04/May/2024,May,"$8,417 ",29
Camilla Castle,India,85% Dark Bars,05/Apr/2024,April,"$9,986 ",54
Ches Bonnell,USA,Choco Coated Almonds,01/Apr/2024,April,"$15,630 ",89
Marney O'Breen,Australia,Baker's Choco Chips,13/Jan/2024,January,"$6,224 ",100
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,07/Nov/2024,November,"$7,737 ",95
Kaine Padly,Australia,Mint Chip Choco,17/May/2024,May,"$4,861 ",162
Camilla Castle,New Zealand,Peanut Butter Cubes,21/Jul/2024,July,"$1,755 ",62
Curtice Advani,Canada,Organic Choco Syrup,22/Feb/2024,February,$897 ,24
Jan Morforth,India,99% Dark & Pure,23/May/2024,May,"$10,607 ",182
Rafaelita Blaksland,Canada,Drinking Coco,07/Dec/2024,December,"$10,772 ",192
Jan Morforth,UK,Orange Choco,15/Jun/2024,June,"$4,117 ",203
Barr Faughny,New Zealand,50% Dark Bites,23/Jun/2024,June,"$5,185 ",321
Curtice Advani,Australia,Eclairs,25/Mar/2024,March,"$6,975 ",58
Jan Morforth,India,Caramel Stuffed Bars,07/Apr/2024,April,$100 ,161
Andria Kimpton,UK,White Choc,05/Dec/2024,December,"$10,203 ",109
Camilla Castle,New Zealand,Raspberry Choco,04/Apr/2024,April,"$5,082 ",148
Madelene Upcott,Australia,Orange Choco,15/Apr/2024,April,"$7,167 ",381
Roddy Speechley,Canada,Eclairs,03/Aug/2024,August,"$7,027 ",95
Karlen McCaffrey,India,White Choc,17/Jan/2024,January,"$8,265 ",251
Wilone O'Kielt,India,Mint Chip Choco,22/Aug/2024,August,"$1,516 ",53
Andria Kimpton,UK,99% Dark & Pure,25/Jul/2024,July,"$1,259 ",72
Marney O'Breen,UK,50% Dark Bites,14/Jun/2024,June,"$3,506 ",126
Ches Bonnell,India,Choco Coated Almonds,04/May/2024,May,"$10,969 ",83
Madelene Upcott,UK,Raspberry Choco,26/Aug/2024,August,"$8,442 ",347
Wilone O'Kielt,Australia,50% Dark Bites,08/Mar/2024,March,"$11,001 ",112
Gigi Bohling,Canada,White Choc,07/Nov/2024,November,"$6,988 ",4
Wilone O'Kielt,New Zealand,Eclairs,03/Nov/2024,November,"$3,735 ",21
Brien Boise,UK,Peanut Butter Cubes,01/Oct/2024,October,"$17,347 ",32
Roddy Speechley,UK,Baker's Choco Chips,04/Apr/2024,April,"$16,517 ",349
Karlen McCaffrey,Australia,50% Dark Bites,17/Jan/2024,January,"$7,643 ",778
Marney O'Breen,New Zealand,Organic Choco Syrup,07/Aug/2024,August,"$10,337 ",49
Jan Morforth,UK,Organic Choco Syrup,04/Dec/2024,December,"$1,367 ",384
Rafaelita Blaksland,Canada,Fruit & Nut Bars,24/Aug/2024,August,$571 ,191
Ches Bonnell,UK,Choco Coated Almonds,06/Jul/2024,July,"$2,012 ",259
Gunar Cockshoot,Canada,Almond Choco,28/Jul/2024,July,"$1,469 ",29
Husein Augar,USA,99% Dark & Pure,21/Feb/2024,February,"$10,020 ",113
Dennison Crosswaite,Canada,Mint Chip Choco,04/Aug/2024,August,"$1,915 ",304
Brien Boise,UK,Manuka Honey Choco,28/Jun/2024,June,$74 ,101
Van Tuxwell,UK,Baker's Choco Chips,24/Mar/2024,March,"$2,794 ",21
Barr Faughny,Australia,Caramel Stuffed Bars,29/Jul/2024,July,"$3,192 ",54
Dennison Crosswaite,USA,Eclairs,25/May/2024,May,"$2,447 ",98
Gigi Bohling,Australia,Raspberry Choco,30/Mar/2024,March,"$7,696 ",313
Dennison Crosswaite,USA,Organic Choco Syrup,18/Jul/2024,July,"$14,732 ",132
Beverie Moffet,Canada,Orange Choco,05/Oct/2024,October,"$9,322 ",111
Mallorie Waber,Australia,Choco Coated Almonds,18/Mar/2024,March,"$18,474 ",88
